	TPMIC01002	TPMIC01004	TPMIC01005	TPMIC01006	TPMIC01007	TPMIC01008	TPMIC01009	TPMIC01010	TPMIC01011	TPMIC01015	TPMIC01016	TPMIC01018	TPMIC01020	TPMIC01023	TPMIC01028	TPMIC01029	TPMIC01034	TPMIC01043	TPMIC01046	TPMIC01052	TPMIC01053	TPMIC01055	TPMIC01062	TPMIC01096	TPMIC01118	TPMIC01124	TPMIC01125	TPMIC01126	TPMIC01127	TPMIC01128	TPMIC01129	TPMIC01130	TPMIC01134	TPMIC01144	TPMIC01145	TPMIC01147	TPMIC01153	TPMIC01158	TPMIC01160	TPMIC01164	TPMIC01167	TPMIC01186	TPMIC01187	TPMIC01190	TPMIC01191	TPMIC01198	TPMIC01199	TPMIC01200	TPMIC01212	TPMIC01220	TPMIC01225	TPMIC01226	TPMIC01228	TPMIC01229	TPMIC01234	TPMIC01235	TPMIC01242	TPMIC01250	TPMIC01251	TPMIC01256	TPMIC01259	TPMIC01271	TPMIC01274	TPMIC01277	TPMIC01278	TPMIC01282	TPMIC01284	TPMIC01291	TPMIC03005	TPMIC03007	TPMIC03009	TPMIC03010	TPMIC03012	TPMIC03018	TPMIC03019	TPMIC03020	TPMIC03022	TPMIC03030	TPMIC03032	TPMIC03033	TPMIC03034	TPMIC03041	TPMIC03042	TPMIC03051	TPMIC03055	TPMIC03057	TPMIC03059	TPMIC03064	TPMIC03068	TPMIC03069	TPMIC03071	TPMIC03073	TPMIC03075	TPMIC03078	TPMIC03082	TPMIC03087	TPMIC03089	TPMIC03091	TPMIC03092	TPMIC03094	TPMIC03096	TPMIC03097	TPMIC03099	TPMIC03104	TPMIC03121	TPMIC03125	TPMIC03126	TPMIC03145
s__Bifidobacterium_adolescentis	18.08141	0.40962	7.2359	0.0	0.24922	0.00207	0.0	0.0	0.10705	0.00588	55.29269	0.03054	0.01273	0.05841	0.00871	0.0	0.0	0.0033	0.57493	0.09	0.06034	0.00673	0.01643	0.11678	0.00821	0.02831	0.1692	0.2299	0.26449	0.01472	0.53761	0.32501	0.2277	0.06094	1.03075	1.49691	0.01022	0.01545	0.11473	6.96595	0.01173	5.3999	0.81572	0.00445	0.0	0.0	1.5548	1.89276	0.00437	0.00839	0.12256	0.01948	0.0077	0.00903	0.0	0.00867	0.0181	0.0113	2.69386	0.0571	0.05589	9.37795	0.02461	0.03732	0.02861	0.11983	0.0	5.96653	1.0433	0.1658	0.01481	0.46914	0.08262	0.02229	0.01339	0.12875	0.08694	0.42892	0.00286	0.01528	1.69493	0.07202	0.00392	0.0	0.00293	0.86497	2.32619	0.01078	0.00657	10.90792	0.03402	0.0	0.09754	0.08091	0.0	29.58827	0.00694	0.33181	0.26241	0.03275	0.06152	0.01355	0.11758	0.01222	0.01646	0.005	4.95345	0.00675
s__Bifidobacterium_animalis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0035	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00341	0.0	0.0	0.0	0.0	0.00332	0.00922	0.0	0.0	0.0	0.0	0.0	0.0	0.00414	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00359	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Bifidobacterium_anseris	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Bifidobacterium_bifidum	0.0	0.0	1.43433	0.0	0.0	0.0	0.01739	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.44889	0.79453	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0533	0.0	0.0	0.03578	0.0	0.0	0.0	0.0	0.88195	0.0	0.77202	0.0	0.0	0.0	0.06018	0.0	0.00076	1.30027	0.0	0.0	0.01106	0.0	0.0	0.0	0.0	0.00553	0.0	0.0	0.00665	0.01735	0.0	0.00096	0.00615	0.0	0.00364	0.0	0.0	0.01834	0.00026	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09224	0.08543	0.0	0.14637	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00378	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Bifidobacterium_breve	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04376	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00492	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03885	0.0
s__Bifidobacterium_dentium	0.0	0.00368	0.0	0.0	0.0	0.0	0.03043	0.0	0.16541	0.0	0.0	0.0	0.0	0.1566	0.18433	0.00517	0.00706	0.52137	0.00924	0.0	0.00434	0.0	0.0	0.0	0.0	0.0	0.00393	0.0	0.0	0.10602	0.0	0.0	0.0	0.0	0.0	0.05092	0.0	0.0	0.17	0.0	0.16467	0.0	0.00489	0.0	0.0	0.03129	0.0	0.0	0.08173	0.0	0.0	0.2003	0.0	0.04663	0.02687	0.0	0.0	0.00359	0.0	0.00219	0.0	0.0	0.06166	0.0	0.01471	0.0	0.0	0.00301	0.54804	0.0	0.0	0.00494	0.0	0.1941	0.00875	0.0	0.0	0.00306	0.0	0.0	0.0	0.0	0.02153	0.0	0.0	0.0	0.00303	0.0	0.32333	0.00166	0.16076	0.0	0.0	0.01949	0.0	0.0	0.0	0.03937	0.0	0.00291	0.01634	0.0	0.00564	0.04022	0.00502	0.0	0.0	0.0
s__Bifidobacterium_longum	0.58843	1.32461	5.42963	7.76787	0.08326	0.0	0.3672	0.0	0.12872	0.00784	13.36253	0.0	0.00965	0.82131	0.01024	0.0074	0.02314	0.20782	10.83342	0.73254	0.98401	0.00385	0.05278	0.05646	0.00505	0.01176	0.00928	0.02169	0.00774	0.02764	1.22735	0.05458	0.26073	1.55736	0.10974	0.18698	0.04649	0.09223	0.15193	2.46782	13.47323	1.17486	0.0	0.59755	0.0	1.66556	0.07918	0.14214	0.43674	0.01472	0.04149	0.11879	8.80437	0.59406	0.0	0.0378	0.08113	0.0071	0.02219	0.20636	2.93336	0.70687	0.69213	0.02749	0.70858	0.10724	0.0	0.87629	0.22862	0.00725	0.0238	0.02803	0.0359	0.26892	0.02017	0.01433	0.02818	0.04806	0.46385	0.01803	1.73862	0.53755	1.75465	0.02097	0.0934	0.50387	0.80093	0.00423	0.0347	0.31537	0.0	2.37133	0.033	0.21832	0.11515	0.90852	0.02981	0.70353	0.19371	0.32163	0.00118	0.12302	0.00349	0.14655	0.00266	0.05712	2.4461	0.35301
s__Bifidobacterium_moukalabense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00068	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Bifidobacterium_pseudocatenulatum	0.93446	0.28054	6.38934	0.0	0.5938	0.0	0.0	0.0	0.17237	0.01037	0.01725	0.02282	0.01145	0.0074	0.0158	0.02314	0.07123	0.75939	1.82925	18.08429	0.02167	2.10414	0.02843	0.03145	0.00453	0.04052	0.00756	0.02677	0.09286	0.22066	3.36214	0.04178	0.05081	0.0	0.01297	0.01152	0.1548	0.03335	0.00516	0.35284	0.00849	0.5448	0.0062	0.0	0.0	0.48343	0.24075	0.00547	1.49124	0.00461	0.11458	0.06121	3.57821	0.05659	0.45595	0.00253	0.32758	0.0055	1.80293	0.12078	0.03192	0.58379	0.00822	0.03349	2.58904	0.02223	0.0	0.0	0.79064	0.00404	0.02598	0.05493	0.13671	0.00205	0.06834	3.84651	0.03298	0.02951	0.11969	3.93549	5.25702	0.57518	8.0577	7.03438	0.0003	2.57062	0.00058	0.0324	0.00421	0.16279	0.01569	2.23057	0.03686	0.02852	0.27176	1.65518	0.32774	0.04224	0.15955	0.88721	0.00472	0.71788	0.04816	0.00425	0.00594	0.0	0.49615	0.033
